service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
W-WE,20120827,20121219,0,0,0,0,0,1,1
W-WD,20120827,20121219,1,1,1,1,1,0,0
E-WE,20120827,20121219,0,0,0,0,0,1,1
E-WD,20120827,20121219,1,1,1,1,1,0,0
ET-WE,20120827,20121219,0,0,0,0,0,1,1
ET-WD,20120827,20121219,1,1,1,1,1,0,0
W-WE,20130119,20130517,0,0,0,0,0,1,1
W-WD,20130119,20130517,1,1,1,1,1,0,0
E-WE,20130119,20130517,0,0,0,0,0,1,1
E-WD,20130119,20130517,1,1,1,1,1,0,0
ET-WE,20130119,20130517,0,0,0,0,0,1,1
ET-WD,20130119,20130517,1,1,1,1,1,0,0
