shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,42.73063,-73.67635,0
1,42.7307,-73.67657,1
1,42.73126,-73.6803,2
1,42.73146,-73.68114,3
1,42.73159,-73.68137,4
1,42.73191,-73.68158,5
1,42.73249,-73.68209,6
1,42.73249,-73.68209,7
1,42.73277,-73.68233,8
1,42.73293,-73.68255,9
1,42.73315,-73.68352,10
1,42.73315,-73.68352,11
1,42.73378,-73.68334,12
1,42.73378,-73.68334,13
1,42.7335,-73.68462,14
1,42.7335,-73.68497,15
1,42.7337,-73.68571,16
1,42.7337,-73.68571,17
1,42.73307,-73.68602,18
1,42.73153,-73.68639,19
1,42.727216356,-73.6873129153,20
1,42.7272057626,-73.6864372024,21
1,42.7274758457,-73.6857582526,22
1,42.7275961005,-73.6850361521,23
1,42.7273481367,-73.6837571163,24
1,42.7266603407,-73.681793418,25
1,42.7262938963,-73.6816656904,26
1,42.724481139,-73.6811936217,27
1,42.7233861091,-73.680648746,28
1,42.7227600001,-73.6798200001,29
1,42.7236270016,-73.6790904391,30
1,42.7275508496,-73.6781329153,31
1,42.73077,-73.67719,32
1,42.73077,-73.67719,33
1,42.7307,-73.67656,34
1,42.7305018837,-73.6766477066,35
1,42.7303048608,-73.6766155201,36
1,42.7302890989,-73.6764921385,37
1,42.7303403249,-73.6764009434,38
1,42.7306397993,-73.6763526636,39
2,42.73077,-73.67719,0
2,42.73077,-73.67719,1
2,42.73304,-73.67659,2
2,42.73304,-73.67659,3
2,42.73304,-73.67659,4
2,42.73239,-73.67172,5
2,42.73239,-73.67172,6
2,42.73567,-73.67076,7
2,42.7366,-73.67056,8
2,42.73827,-73.6701,9
2,42.73777,-73.66656,10
2,42.73777,-73.66656,11
2,42.73597,-73.66707,12
2,42.73597,-73.66707,13
2,42.73567,-73.66508,14
2,42.73567,-73.66508,15
2,42.73564,-73.66508,16
2,42.73567,-73.66508,17
2,42.73567,-73.66508,18
2,42.73545,-73.66336,19
2,42.73537,-73.66316,20
2,42.73537,-73.66316,21
2,42.73521,-73.66311,22
2,42.73446,-73.66335,23
2,42.73399,-73.66353,24
2,42.73268,-73.66516,25
2,42.73218,-73.66578,26
2,42.73109,-73.66676,27
2,42.73091,-73.667,28
2,42.73088,-73.66726,29
2,42.73088,-73.66726,30
2,42.73127,-73.66825,31
2,42.73127,-73.66825,32
2,42.73161,-73.6691,33
2,42.73172,-73.6697,34
2,42.73179,-73.6702,35
2,42.73187,-73.67047,36
2,42.73198,-73.67064,37
2,42.73221,-73.67079,38
2,42.73228,-73.67092,39
2,42.7333,-73.67846,40
2,42.73395,-73.68189,41
2,42.7339812181,-73.6822284604,42
2,42.7329528093,-73.682518139,43
2,42.7328070182,-73.6823035622,44
2,42.7325114946,-73.682056799,45
2,42.731908622,-73.681531086,46
2,42.7316130941,-73.6813433314,47
2,42.731498823,-73.6811341191,48
2,42.7313018032,-73.6802972699,49
2,42.7310772,-73.6788971568,50
2,42.7307,-73.67657,51
2,42.7306477042,-73.6766150594,52
2,42.7306161807,-73.6766070127,53
2,42.7305688953,-73.6766177416,54
2,42.7305354015,-73.6766257882,55
2,42.7303876345,-73.6766713858,56
2,42.7303462597,-73.676636517,57
2,42.730306855,-73.6765506864,58
2,42.730306855,-73.6765480042,59
2,42.7303186764,-73.6764621735,60
2,42.730358081,-73.6764085293,61
2,42.7304329498,-73.6763843894,62
2,42.7305117588,-73.6763575673,63
2,42.7306004189,-73.6763414741,64
2,42.7306772576,-73.6763763428,65
2,42.7307087811,-73.6765506864,66
2,42.73077,-73.67719,67
3,42.7303029146,-73.6765292287,0
3,42.7303088253,-73.6764581501,1
3,42.7303561108,-73.6763991416,2
3,42.7304723543,-73.6763662728,3
3,42.7306122403,-73.6763126287,4
3,42.7307009002,-73.6765734851,5
3,42.7307678876,-73.6771903932,6
3,42.7330099546,-73.6765875551,7
3,42.7323716239,-73.6716952058,8
3,42.7382266825,-73.6700791516,9
3,42.7377302454,-73.6665473645,10
3,42.7359651036,-73.6671139928,11
3,42.7353504442,-73.6631175014,12
3,42.7340423026,-73.663469553,13
3,42.7319933508,-73.6659821006,14
3,42.7309294453,-73.666938967,15
3,42.7308821601,-73.6672608321,16
3,42.7305196397,-73.6673144763,17
3,42.7297630686,-73.6676397058,18
3,42.7288646283,-73.668219063,19
3,42.728265661,-73.6681654188,20
3,42.7274854185,-73.6678113672,21
3,42.7271544035,-73.6676504346,22
3,42.726642115,-73.6667901278,23
3,42.7253259082,-73.6677128077,24
3,42.724805723,-73.6734205484,25
3,42.724868776,-73.6738067865,26
3,42.7324386096,-73.6717032525,27
3,42.733069059,-73.6767545342,28
3,42.7339950199,-73.6822416517,29
3,42.7329153875,-73.6825615168,30
3,42.7327183723,-73.6823060247,31
3,42.7320169929,-73.6816730234,32
3,42.7315835523,-73.681372616,33
3,42.7314653407,-73.6811687681,34
3,42.7312446784,-73.6802139017,35
3,42.7307718281,-73.6772091454,36
3,42.7306890789,-73.676576144,37
3,42.7303896047,-73.6766438815,38
3,42.7303442894,-73.6766344937,39
3,42.7303107955,-73.6765459808,40
