trip_id,arrival_time,departure_time,stop_id,stop_sequence
W-WE-1,9:30:00,9:30:00,union,1
W-WE-1,9:33:00,9:33:00,troy-building,2
W-WE-1,9:37:00,9:37:00,blitman,3
W-WE-1,9:42:00,9:42:00,city-station,4
W-WE-1,9:44:00,9:44:00,polytech,5
W-WE-1,9:46:00,9:46:00,moes,6
W-WE-2,9:50:00,9:50:00,union,7
W-WE-2,9:53:00,9:53:00,troy-building,8
W-WE-2,9:57:00,9:57:00,blitman,9
W-WE-2,10:02:00,10:02:00,city-station,10
W-WE-2,10:04:00,10:04:00,polytech,11
W-WE-2,10:06:00,10:06:00,moes,12
W-WE-3,10:10:00,10:10:00,union,13
W-WE-3,10:13:00,10:13:00,troy-building,14
W-WE-3,10:17:00,10:17:00,blitman,15
W-WE-3,10:22:00,10:22:00,city-station,16
W-WE-3,10:24:00,10:24:00,polytech,17
W-WE-3,10:26:00,10:26:00,moes,18
W-WE-4,10:30:00,10:30:00,union,19
W-WE-4,10:33:00,10:33:00,troy-building,20
W-WE-4,10:37:00,10:37:00,blitman,21
W-WE-4,10:42:00,10:42:00,city-station,22
W-WE-4,10:44:00,10:44:00,polytech,23
W-WE-4,10:46:00,10:46:00,moes,24
W-WE-5,10:50:00,10:50:00,union,25
W-WE-5,10:53:00,10:53:00,troy-building,26
W-WE-5,10:57:00,10:57:00,blitman,27
W-WE-5,11:02:00,11:02:00,city-station,28
W-WE-5,11:04:00,11:04:00,polytech,29
W-WE-5,11:06:00,11:06:00,moes,30
W-WE-5,11:10:00,11:10:00,union,31
W-WE-6,11:30:00,11:30:00,union,32
W-WE-6,11:33:00,11:33:00,troy-building,33
W-WE-6,11:37:00,11:37:00,blitman,34
W-WE-6,11:42:00,11:42:00,city-station,35
W-WE-6,11:44:00,11:44:00,polytech,36
W-WE-6,11:46:00,11:46:00,moes,37
W-WE-7,11:50:00,11:50:00,union,38
W-WE-7,11:53:00,11:53:00,troy-building,39
W-WE-7,11:57:00,11:57:00,blitman,40
W-WE-7,12:02:00,12:02:00,city-station,41
W-WE-7,12:04:00,12:04:00,polytech,42
W-WE-7,12:06:00,12:06:00,moes,43
W-WE-8,12:10:00,12:10:00,union,44
W-WE-8,12:13:00,12:13:00,troy-building,45
W-WE-8,12:17:00,12:17:00,blitman,46
W-WE-8,12:22:00,12:22:00,city-station,47
W-WE-8,12:24:00,12:24:00,polytech,48
W-WE-8,12:26:00,12:26:00,moes,49
W-WE-9,12:30:00,12:30:00,union,50
W-WE-9,12:33:00,12:33:00,troy-building,51
W-WE-9,12:37:00,12:37:00,blitman,52
W-WE-9,12:42:00,12:42:00,city-station,53
W-WE-9,12:44:00,12:44:00,polytech,54
W-WE-9,12:46:00,12:46:00,moes,55
W-WE-9,12:50:00,12:50:00,union,56
W-WE-10,13:30:00,13:30:00,union,57
W-WE-10,13:33:00,13:33:00,troy-building,58
W-WE-10,13:37:00,13:37:00,blitman,59
W-WE-10,13:42:00,13:42:00,city-station,60
W-WE-10,13:44:00,13:44:00,polytech,61
W-WE-10,13:46:00,13:46:00,moes,62
W-WE-11,13:50:00,13:50:00,union,63
W-WE-11,13:53:00,13:53:00,troy-building,64
W-WE-11,13:57:00,13:57:00,blitman,65
W-WE-11,14:02:00,14:02:00,city-station,66
W-WE-11,14:04:00,14:04:00,polytech,67
W-WE-11,14:06:00,14:06:00,moes,68
W-WE-12,14:10:00,14:10:00,union,69
W-WE-12,14:13:00,14:13:00,troy-building,70
W-WE-12,14:17:00,14:17:00,blitman,71
W-WE-12,14:22:00,14:22:00,city-station,72
W-WE-12,14:24:00,14:24:00,polytech,73
W-WE-12,14:26:00,14:26:00,moes,74
W-WE-13,14:30:00,14:30:00,union,75
W-WE-13,14:33:00,14:33:00,troy-building,76
W-WE-13,14:37:00,14:37:00,blitman,77
W-WE-13,14:42:00,14:42:00,city-station,78
W-WE-13,14:44:00,14:44:00,polytech,79
W-WE-13,14:46:00,14:46:00,moes,80
W-WE-13,14:50:00,14:50:00,union,81
W-WE-14,15:20:00,15:20:00,union,82
W-WE-14,15:23:00,15:23:00,troy-building,83
W-WE-14,15:27:00,15:27:00,blitman,84
W-WE-14,15:32:00,15:32:00,city-station,85
W-WE-14,15:34:00,15:34:00,polytech,86
W-WE-14,15:36:00,15:36:00,moes,87
W-WE-15,15:40:00,15:40:00,union,88
W-WE-15,15:43:00,15:43:00,troy-building,89
W-WE-15,15:47:00,15:47:00,blitman,90
W-WE-15,15:52:00,15:52:00,city-station,91
W-WE-15,15:54:00,15:54:00,polytech,92
W-WE-15,15:56:00,15:56:00,moes,93
W-WE-16,16:00:00,16:00:00,union,94
W-WE-16,16:03:00,16:03:00,troy-building,95
W-WE-16,16:07:00,16:07:00,blitman,96
W-WE-16,16:02:00,16:02:00,city-station,97
W-WE-16,16:14:00,16:14:00,polytech,98
W-WE-16,16:16:00,16:16:00,moes,99
W-WE-17,16:20:00,16:20:00,union,100
W-WE-17,16:23:00,16:23:00,troy-building,101
W-WE-17,16:27:00,16:27:00,blitman,102
W-WE-17,16:32:00,16:32:00,city-station,103
W-WE-17,16:34:00,16:34:00,polytech,104
W-WE-17,16:36:00,16:36:00,moes,105
W-WE-18,16:40:00,16:40:00,union,106
W-WE-18,16:43:00,16:43:00,troy-building,107
W-WE-18,16:47:00,16:47:00,blitman,108
W-WE-18,16:52:00,16:52:00,city-station,109
W-WE-18,16:54:00,16:54:00,polytech,110
W-WE-18,16:56:00,16:56:00,moes,111
W-WE-18,17:00:00,17:00:00,union,112
ET-WE-1,9:30:00,9:30:00,union,113
ET-WE-1,9:34:00,9:34:00,colonie,114
ET-WE-1,9:37:00,9:37:00,brinsmade,115
ET-WE-1,9:39:00,9:39:00,sunset,116
ET-WE-1,9:41:00,9:41:00,barh,117
ET-WE-1,9:46:00,9:46:00,tibbits,118
