route_id,service_id,trip_id,block_id,shape_id,wheelchair_accessible
1,W-WE,W-WE-1,1,1,1
1,W-WE,W-WE-2,1,1,1
1,W-WE,W-WE-3,1,1,1
1,W-WE,W-WE-4,1,1,1
1,W-WE,W-WE-5,1,1,1
1,W-WE,W-WE-6,2,1,1
1,W-WE,W-WE-7,2,1,1
1,W-WE,W-WE-8,2,1,1
1,W-WE,W-WE-9,2,1,1
1,W-WE,W-WE-10,3,1,1
1,W-WE,W-WE-11,3,1,1
1,W-WE,W-WE-12,3,1,1
1,W-WE,W-WE-13,3,1,1
1,W-WE,W-WE-14,4,1,1
1,W-WE,W-WE-15,4,1,1
1,W-WE,W-WE-16,4,1,1
1,W-WE,W-WE-17,4,1,1
1,W-WE,W-WE-18,4,1,1
3,ET-WE,ET-WE-1,5,3,1
2,E-WE,E-WE-2,5,2,1
3,ET-WE,ET-WE-3,5,3,1
2,E-WE,E-WE-4,5,2,1
2,E-WE,E-WE-5,6,2,1
3,ET-WE,ET-WE-6,6,3,1
2,E-WE,E-WE-7,6,2,1
3,ET-WE,ET-WE-8,6,3,1
2,E-WE,E-WE-9,6,2,1
3,ET-WE,ET-WE-10,7,3,1
2,E-WE,E-WE-11,7,2,1
2,E-WE,E-WE-12,7,2,1
3,ET-WE,ET-WE-13,7,3,1
2,E-WE,E-WE-14,7,2,1
2,E-WE,E-WE-15,8,2,1
3,ET-WE,ET-WE-16,8,3,1
2,E-WE,E-WE-17,8,2,1
